"Section","Catchline","Definiendum","Definition","Scope"
"7 U.S. Code § 92","Definitions","Naval stores"," “Naval stores” means spirits of turpentine and rosin.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Spirits of turpentine"," “Spirits of turpentine” includes gum spirits of turpentine and wood turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Gum spirits of turpentine"," “Gum spirits of turpentine” means spirits of turpentine made from gum (oleoresin) from a living tree.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Wood turpentine"," “Wood turpentine” includes steam distilled wood turpentine and destructively distilled wood turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Steam distilled wood turpentine"," “Steam distilled wood turpentine” means wood turpentine distilled with steam from the oleoresin within or extracted from the wood.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Destructively distilled wood turpentine"," “Destructively distilled wood turpentine” means wood turpentine obtained in the destructive distillation of the wood.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Rosin"," “Rosin” includes gum rosin and wood rosin.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Gum rosin"," “Gum rosin” means rosin remaining after the distillation of gum spirits of turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Wood rosin"," “Wood rosin” means rosin remaining after the distillation of steam distilled wood turpentine.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Package"," “Package” means any container of naval stores, and includes barrel, tank, tank car, or other receptacle.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","Person"," “Person” includes partnerships, associations, and corporations, as well as individuals.","When used in this chapter—"
"7 U.S. Code § 92","Definitions","commerce"," The term “commerce” means commerce between any State, Territory, or possession, or the District of Columbia, and any place outside thereof; or between points within the same State, Territory, or possession, or the District of Columbia, but through any place outside thereof; or within any Territory or possession or the District of Columbia.","When used in this chapter—"
