"Section","Catchline","Definiendum","Definition","Scope"
"7 U.S. Code § 2902","Definitions","beef"," the term “beef” means flesh of cattle;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","beef products"," the term “beef products” means edible products produced in whole or in part from beef, exclusive of milk and products made therefrom;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Board"," the term “Board” means the Cattlemen’s Beef Promotion and Research Board established under section 2904 (1) of this title;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","cattle"," the term “cattle” means live domesticated bovine animals regardless of age;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Committee"," the term “Committee” means the Beef Promotion Operating Committee established under section 2904 (5) of this title;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","consumer information"," the term “consumer information” means nutritional data and other information that will assist consumers and other persons in making evaluations and decisions regarding the purchasing, preparing, and use of beef and beef products;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Department"," the term “Department” means the Department of Agriculture. [1]","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","importer"," the term “importer” means any person who imports cattle, beef, or beef products from outside the United States;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","industry information"," the term “industry information” means information and programs that will lead to the development of new markets, marketing strategies, increased efficiency, and activities to enhance the image of the cattle industry;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","order"," The  [2] term “order” means a beef promotion and research order issued under section 2903 of this title. [1]","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","person"," the term “person” means any individual, group of individuals, partnership, corporation, association, cooperative, or any other entity;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","producer"," the term “producer” means any person who owns or acquires ownership of cattle, except that a person shall not be considered to be a producer if the person’s only share in the proceeds of a sale of cattle or beef is a sales commission, handling fee, or other service fee;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","promotion"," the term “promotion” means any action, including paid advertising, to advance the image and desirability of beef and beef products with the express intent of improving the competitive position and stimulating sales of beef and beef products in the marketplace;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","qualified State beef council"," the term “qualified State beef council” means a beef promotion entity that is authorized by State statute or is organized and operating within a State, that receives voluntary contributions and conducts beef promotion, research, and consumer information programs, and that is recognized by the Board as the beef promotion entity within such State;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","research"," the term “research” means studies testing the effectiveness of market development and promotion efforts, studies relating to the nutritional value of beef and beef products, other related food science research, and new product development;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","Secretary"," the term “Secretary” means the Secretary of Agriculture;","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","State"," The  [2] term “State” means each of the 50 States; and","For purposes of this chapter—"
"7 U.S. Code § 2902","Definitions","United States"," the term “United States” means the several States and the District of Columbia.","For purposes of this chapter—"
